"user" "hotel"
"10569" 2764 62
"5785" 1525 26
"6971" 1815 59
"8826" 2328 17
"1772" 457 49
"14750" 3857 55
"5885" 1552 12
"6674" 1740 1
"8651" 2281 28
"5279" 1400 23
"9505" 2491 2
"10237" 2673 37
"11077" 2885 14
"2529" 661 41
"2496" 652 16
"10327" 2698 16
"9946" 2609 11
"1503" 380 45
"5359" 1420 55
"1939" 504 28
"14382" 3765 11
"9161" 2414 7
"5519" 1456 20
"2683" 704 57
"8881" 2345 56
"9337" 2455 47
"5404" 1432 49
"3460" 912 26
"15429" 4044 56
"6196" 1629 17
"11247" 2925 36
"5476" 1447 18
"6443" 1683 57
"15425" 4043 15
"10421" 2718 37
"15651" 4104 35
"8008" 2107 63
"14408" 3770 2
"10835" 2822 39
"6710" 1749 6
"16002" 4190 6
"9563" 2504 39
"15749" 4130 45
"12426" 3230 3
"927" 244 6
"4364" 1156 11
"1258" 317 53
"10748" 2805 7
"14104" 3688 12
"12224" 3180 38
"1242" 311 51
"12563" 3273 6
"16404" 4319 61
"13529" 3556 60
"7516" 1965 28
"3997" 1055 58
"16750" 4421 51
"5020" 1329 5
"14989" 3923 52
"2241" 588 14
"8347" 2197 37
"4279" 1133 48
"6645" 1733 2
"908" 239 26
"5201" 1376 60
"3063" 806 60
"16414" 4321 15
"4785" 1259 37
"9493" 2489 56
"4788" 1259 43
"15251" 4000 6
"12118" 3153 18
"16266" 4274 13
"426" 108 17
"4755" 1256 50
"6843" 1784 7
"4706" 1244 27
"1020" 269 60
"6592" 1719 15
"10686" 2792 6
"2750" 724 9
"15504" 4063 13
"14071" 3682 3
"936" 247 34
"8817" 2326 37
"14136" 3692 13
"15036" 3935 45
"9259" 2433 47
"8039" 2115 6
"15122" 3960 17
"9203" 2421 34
"13612" 3578 59
"5692" 1505 17
"4002" 1057 60
"8751" 2311 18
"926" 244 5
"6359" 1663 66
"616" 159 1
"9948" 2610 56
"11563" 3009 64
"11010" 2867 49
"2252" 590 7
"2465" 642 32
"15689" 4112 56
"15298" 4011 52
"16671" 4399 58
"16713" 4410 53
"12759" 3326 31
"16815" 4440 53
"5727" 1516 61
"12784" 3334 60
"13040" 3410 37
"14007" 3678 19
"4295" 1140 59
"44" 14 41
"3430" 902 21
"5266" 1397 57
"7943" 2091 7
"5396" 1429 24
"3238" 851 3
"947" 250 36
"342" 85 47
"10317" 2695 19
"5809" 1531 17
"34" 10 7
"13077" 3418 43
"1878" 488 7
"4744" 1254 55
"1853" 480 61
"6524" 1699 2
"3500" 923 13
"13003" 3400 3
"2736" 719 47
"14160" 3700 53
"3438" 905 52
"12176" 3168 15
"6209" 1631 31
"6218" 1633 37
"8878" 2344 37
"3" 2 63
"16846" 4450 38
"12548" 3267 45
"17069" 4500 56
"5233" 1386 27
"4640" 1225 53
"2613" 683 8
"9411" 2469 19
"6518" 1698 60
"13521" 3553 59
"12362" 3211 66
"13674" 3592 32
"11641" 3033 46
"7094" 1846 62
"3326" 875 43
"3321" 873 62
"8965" 2368 49
"17209" 4541 17
"6129" 1616 38
"4624" 1221 23
"6028" 1594 40
"2728" 718 17
"16483" 4343 17
"10577" 2768 22
"4888" 1292 15
"15231" 3993 57
"10236" 2673 57
"9139" 2409 36
"9588" 2511 56
"13989" 3675 1
"15218" 3988 47
"7116" 1852 6
"809" 210 16
"479" 125 45
"9990" 2623 60
"11129" 2898 43
"7918" 2084 39
"622" 160 11
"287" 75 15
"10210" 2664 4
"11990" 3125 24
"4601" 1216 41
"1542" 389 37
"11982" 3123 66
"6809" 1774 30
"5465" 1446 26
"5867" 1546 45
"4252" 1124 56
"2095" 547 46
"11517" 3000 6
"1674" 428 53
"5684" 1502 60
"10680" 2790 47
"12445" 3236 7
"7490" 1957 17
"14777" 3866 39
"10432" 2720 39
"2855" 753 60
"780" 204 26
"10311" 2693 28
"3343" 880 11
"4367" 1156 46
"7942" 2091 39
"9570" 2505 37
"7193" 1876 59
"15076" 3945 17
"3497" 923 29
