Categoría: Todas las categorías

Mes,Constellation Brand: (Todo el mundo)
2004-01,53
2004-02,53
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,47
2004-08,0
2004-09,79
2004-10,0
2004-11,100
2004-12,37
2005-01,0
2005-02,35
2005-03,0
2005-04,0
2005-05,28
2005-06,28
2005-07,29
2005-08,42
2005-09,51
2005-10,24
2005-11,24
2005-12,23
2006-01,51
2006-02,0
2006-03,18
2006-04,29
2006-05,18
2006-06,65
2006-07,38
2006-08,52
2006-09,0
2006-10,23
2006-11,15
2006-12,0
2007-01,33
2007-02,21
2007-03,18
2007-04,13
2007-05,17
2007-06,17
2007-07,56
2007-08,21
2007-09,21
2007-10,51
2007-11,31
2007-12,20
2008-01,17
2008-02,22
2008-03,29
2008-04,44
2008-05,20
2008-06,20
2008-07,12
2008-08,16
2008-09,15
2008-10,13
2008-11,11
2008-12,17
2009-01,13
2009-02,46
2009-03,6
2009-04,15
2009-05,18
2009-06,6
2009-07,14
2009-08,0
2009-09,16
2009-10,10
2009-11,21
2009-12,20
2010-01,12
2010-02,12
2010-03,7
2010-04,5
2010-05,5
2010-06,5
2010-07,11
2010-08,8
2010-09,8
2010-10,21
2010-11,11
2010-12,10
2011-01,11
2011-02,9
2011-03,12
2011-04,18
2011-05,7
2011-06,3
2011-07,12
2011-08,5
2011-09,6
2011-10,6
2011-11,21
2011-12,4
2012-01,4
2012-02,7
2012-03,5
2012-04,8
2012-05,6
2012-06,7
2012-07,16
2012-08,4
2012-09,7
2012-10,13
2012-11,13
2012-12,4
2013-01,3
2013-02,17
2013-03,6
2013-04,10
2013-05,11
2013-06,8
2013-07,14
2013-08,16
2013-09,13
2013-10,22
2013-11,16
2013-12,4
2014-01,16
2014-02,9
2014-03,4
2014-04,9
2014-05,8
2014-06,14
2014-07,6
2014-08,4
2014-09,10
2014-10,16
2014-11,13
2014-12,10
2015-01,10
2015-02,7
2015-03,9
2015-04,13
2015-05,8
2015-06,9
2015-07,10
2015-08,14
2015-09,8
2015-10,17
2015-11,18
2015-12,14
2016-01,13
2016-02,12
2016-03,11
2016-04,19
2016-05,18
2016-06,18
2016-07,17
2016-08,13
2016-09,13
2016-10,16
2016-11,12
2016-12,17
2017-01,13
2017-02,9
2017-03,19
2017-04,13
2017-05,21
2017-06,13
2017-07,23
2017-08,15
2017-09,18
2017-10,23
2017-11,26
2017-12,16
2018-01,24
2018-02,15
2018-03,19
2018-04,27
2018-05,28
2018-06,18
2018-07,15
2018-08,28
2018-09,22
2018-10,29
2018-11,18
2018-12,13
2019-01,28
2019-02,19
