Categoría: Todas las categorías

Mes,love: (Todo el mundo)
2004-01,66
2004-02,75
2004-03,67
2004-04,65
2004-05,64
2004-06,61
2004-07,63
2004-08,62
2004-09,59
2004-10,60
2004-11,63
2004-12,67
2005-01,64
2005-02,73
2005-03,64
2005-04,65
2005-05,67
2005-06,65
2005-07,62
2005-08,62
2005-09,61
2005-10,63
2005-11,65
2005-12,66
2006-01,67
2006-02,73
2006-03,64
2006-04,65
2006-05,63
2006-06,63
2006-07,65
2006-08,66
2006-09,62
2006-10,65
2006-11,66
2006-12,66
2007-01,64
2007-02,71
2007-03,64
2007-04,66
2007-05,65
2007-06,66
2007-07,66
2007-08,68
2007-09,67
2007-10,68
2007-11,67
2007-12,78
2008-01,71
2008-02,76
2008-03,72
2008-04,73
2008-05,75
2008-06,73
2008-07,70
2008-08,69
2008-09,68
2008-10,69
2008-11,69
2008-12,74
2009-01,73
2009-02,78
2009-03,75
2009-04,77
2009-05,78
2009-06,74
2009-07,76
2009-08,79
2009-09,75
2009-10,78
2009-11,79
2009-12,80
2010-01,81
2010-02,88
2010-03,80
2010-04,83
2010-05,84
2010-06,87
2010-07,95
2010-08,98
2010-09,90
2010-10,91
2010-11,92
2010-12,90
2011-01,90
2011-02,94
2011-03,84
2011-04,84
2011-05,86
2011-06,88
2011-07,88
2011-08,90
2011-09,90
2011-10,93
2011-11,95
2011-12,94
2012-01,92
2012-02,100
2012-03,87
2012-04,86
2012-05,85
2012-06,84
2012-07,86
2012-08,86
2012-09,87
2012-10,82
2012-11,82
2012-12,85
2013-01,84
2013-02,88
2013-03,81
2013-04,84
2013-05,83
2013-06,83
2013-07,82
2013-08,83
2013-09,80
2013-10,79
2013-11,80
2013-12,83
2014-01,84
2014-02,89
2014-03,79
2014-04,82
2014-05,82
2014-06,81
2014-07,88
2014-08,85
2014-09,81
2014-10,81
2014-11,87
2014-12,87
2015-01,86
2015-02,92
2015-03,83
2015-04,83
2015-05,86
2015-06,86
2015-07,83
2015-08,84
2015-09,81
2015-10,82
2015-11,83
2015-12,87
2016-01,88
2016-02,90
2016-03,81
2016-04,84
2016-05,82
2016-06,86
2016-07,87
2016-08,83
2016-09,83
2016-10,83
2016-11,82
2016-12,87
2017-01,81
2017-02,85
2017-03,80
2017-04,78
2017-05,76
2017-06,83
2017-07,84
2017-08,76
2017-09,71
2017-10,70
2017-11,70
2017-12,74
2018-01,70
2018-02,75
2018-03,71
2018-04,71
2018-05,74
2018-06,82
2018-07,83
2018-08,75
2018-09,74
2018-10,72
2018-11,72
2018-12,74
2019-01,69
2019-02,75
