Categoría: Todas las categorías

Mes,pepsico: (Todo el mundo)
2004-01,59
2004-02,43
2004-03,61
2004-04,77
2004-05,51
2004-06,46
2004-07,56
2004-08,45
2004-09,60
2004-10,70
2004-11,56
2004-12,48
2005-01,49
2005-02,51
2005-03,53
2005-04,66
2005-05,72
2005-06,43
2005-07,74
2005-08,53
2005-09,56
2005-10,61
2005-11,66
2005-12,48
2006-01,51
2006-02,61
2006-03,55
2006-04,56
2006-05,48
2006-06,51
2006-07,52
2006-08,66
2006-09,57
2006-10,66
2006-11,50
2006-12,48
2007-01,51
2007-02,57
2007-03,58
2007-04,50
2007-05,51
2007-06,53
2007-07,56
2007-08,52
2007-09,54
2007-10,62
2007-11,50
2007-12,44
2008-01,60
2008-02,61
2008-03,59
2008-04,65
2008-05,48
2008-06,52
2008-07,54
2008-08,49
2008-09,64
2008-10,68
2008-11,57
2008-12,48
2009-01,58
2009-02,60
2009-03,60
2009-04,67
2009-05,62
2009-06,58
2009-07,55
2009-08,65
2009-09,64
2009-10,67
2009-11,69
2009-12,48
2010-01,54
2010-02,58
2010-03,73
2010-04,68
2010-05,64
2010-06,61
2010-07,55
2010-08,63
2010-09,57
2010-10,62
2010-11,65
2010-12,55
2011-01,62
2011-02,69
2011-03,72
2011-04,70
2011-05,69
2011-06,67
2011-07,61
2011-08,63
2011-09,70
2011-10,75
2011-11,72
2011-12,57
2012-01,71
2012-02,83
2012-03,77
2012-04,83
2012-05,100
2012-06,81
2012-07,81
2012-08,73
2012-09,79
2012-10,76
2012-11,71
2012-12,56
2013-01,68
2013-02,72
2013-03,74
2013-04,79
2013-05,77
2013-06,69
2013-07,74
2013-08,70
2013-09,76
2013-10,76
2013-11,71
2013-12,57
2014-01,72
2014-02,78
2014-03,77
2014-04,83
2014-05,77
2014-06,77
2014-07,82
2014-08,73
2014-09,83
2014-10,80
2014-11,73
2014-12,66
2015-01,74
2015-02,76
2015-03,75
2015-04,76
2015-05,68
2015-06,72
2015-07,66
2015-08,68
2015-09,71
2015-10,70
2015-11,64
2015-12,56
2016-01,65
2016-02,70
2016-03,64
2016-04,73
2016-05,61
2016-06,63
2016-07,57
2016-08,64
2016-09,69
2016-10,67
2016-11,76
2016-12,54
2017-01,68
2017-02,70
2017-03,74
2017-04,72
2017-05,68
2017-06,72
2017-07,88
2017-08,60
2017-09,64
2017-10,68
2017-11,60
2017-12,52
2018-01,65
2018-02,78
2018-03,69
2018-04,70
2018-05,65
2018-06,64
2018-07,66
2018-08,84
2018-09,69
2018-10,75
2018-11,66
2018-12,58
2019-01,72
2019-02,73
